laurea,tipo,corso,media
triennale,entrata,comunicazione,97
triennale,entrata,interni,96
triennale,entrata,moda,96
triennale,entrata,prodotto,95
magistrale,entrata,comunicazione,106
magistrale,entrata,dee,99
magistrale,entrata,interni,101
magistrale,entrata,moda,101
magistrale,entrata,prodotto,100
magistrale,entrata,pssd,104
triennale,uscita,comunicazione,102
triennale,uscita,interni,102
triennale,uscita,moda,101
triennale,uscita,prodotto,100
magistrale,uscita,comunicazione,108
magistrale,uscita,dee,104
magistrale,uscita,interni,105
magistrale,uscita,moda,105
magistrale,uscita,prodotto,105
magistrale,uscita,pssd,104
